ip,port,country,colo,colo_country,region,city,tcp_latency_ms,tls_latency_ms,http_latency_ms,average_latency_ms,tcp_jitter_ms,tls_jitter_ms,http_jitter_ms,jitter_ms,loss_rate,speed_mbps,tls_version,score
5.223.59.9,443,SG,,,,,149.088,,,149.088,6.274,,,6.274,0.0,4.924,,0.0
136.243.86.80,2053,DE,,,,,178.448,,,178.448,26.146,,,26.146,0.0,4.924,,0.0
143.110.231.86,443,US,,,,,169.645,,,169.645,1.816,,,1.816,0.0,4.921,,0.0
77.110.100.6,443,GB,,,,,164.377,,,164.377,23.387,,,23.387,0.0,4.918,,0.0
94.159.108.187,8443,DE,,,,,198.653,,,198.653,13.539,,,13.539,0.0,4.915,,0.0
147.182.229.237,443,US,,,,,196.514,,,196.514,13.282,,,13.282,0.0,4.902,,0.0
136.244.94.162,443,DE,,,,,166.384,,,166.384,25.836,,,25.836,0.0,4.901,,0.0
195.211.36.60,443,RU,,,,,145.808,,,145.808,6.909,,,6.909,0.0,4.895,,0.0
94.16.109.71,8443,DE,,,,,187.545,,,187.545,51.628,,,51.628,0.0,4.89,,0.0
88.198.82.156,443,DE,,,,,195.934,,,195.934,27.232,,,27.232,0.0,4.881,,0.0
89.106.207.108,443,NL,,,,,168.821,,,168.821,3.244,,,3.244,0.0,4.876,,0.0
143.198.76.96,443,US,,,,,181.708,,,181.708,2.31,,,2.31,0.0,4.875,,0.0
108.165.173.197,443,DE,,,,,194.71,,,194.71,23.895,,,23.895,0.0,4.868,,0.0
45.221.115.25,8443,HK,,,,,121.157,,,121.157,1.672,,,1.672,0.0,4.867,,0.0
136.243.86.88,2053,DE,,,,,197.075,,,197.075,31.045,,,31.045,0.0,4.86,,0.0
46.30.47.217,443,NL,,,,,183.287,,,183.287,26.149,,,26.149,0.0,4.859,,0.0
137.184.228.85,443,US,,,,,188.801,,,188.801,5.692,,,5.692,0.0,4.853,,0.0
178.128.190.138,443,US,,,,,175.309,,,175.309,4.499,,,4.499,0.0,4.844,,0.0
143.110.131.126,443,US,,,,,183.169,,,183.169,1.636,,,1.636,0.0,4.841,,0.0
45.192.247.199,443,HK,,,,,117.237,,,117.237,7.761,,,7.761,0.0,4.826,,0.0
136.244.105.62,443,NL,,,,,184.691,,,184.691,15.618,,,15.618,0.0,4.819,,0.0
103.247.28.26,443,HK,,,,,113.528,,,113.528,5.399,,,5.399,0.0,4.815,,0.0
45.39.199.233,443,HK,,,,,124.882,,,124.882,6.977,,,6.977,0.0,4.791,,0.0
77.110.118.177,443,NL,,,,,194.128,,,194.128,32.94,,,32.94,0.0,4.779,,0.0
185.240.120.233,8443,US,,,,,189.768,,,189.768,17.331,,,17.331,0.0,4.764,,0.0
82.22.26.141,2053,US,,,,,102.783,,,102.783,5.348,,,5.348,0.0,4.762,,0.0
88.218.122.199,443,NL,,,,,177.73,,,177.73,6.137,,,6.137,0.0,4.76,,0.0
195.128.101.188,443,DE,,,,,155.487,,,155.487,4.691,,,4.691,0.0,4.75,,0.0
132.243.238.192,8443,SG,,,,,147.862,,,147.862,1.091,,,1.091,0.0,4.749,,0.0
143.198.230.169,443,US,,,,,182.179,,,182.179,0.965,,,0.965,0.0,4.747,,0.0
185.248.86.218,443,GB,,,,,167.429,,,167.429,7.952,,,7.952,0.0,4.746,,0.0
136.243.86.77,2053,DE,,,,,196.986,,,196.986,18.585,,,18.585,0.0,4.746,,0.0
108.61.183.45,443,JP,,,,,218.13,,,,145.865,,,,0.0,18.496,,0.0
82.110.234.58,443,JP,,,,,299.005,,,,94.46,,,,0.0,17.827,,0.0
43.167.11.157,2083,JP,,,,,276.857,,,,101.726,,,,0.0,15.811,,0.0
131.143.215.40,443,JP,,,,,217.952,,,,144.054,,,,0.0,15.233,,0.0
152.175.38.45,443,JP,,,,,195.345,,,,122.92,,,,0.0,13.996,,0.0
132.226.10.72,2083,JP,,,,,264.233,,,,173.208,,,,0.0,13.873,,0.0
158.51.109.51,443,JP,,,,,264.157,,,,125.108,,,,0.0,13.613,,0.0
101.33.55.147,443,JP,,,,,214.641,,,,119.594,,,,0.0,13.443,,0.0
43.163.199.247,443,JP,,,,,303.8,,,,115.171,,,,0.0,13.422,,0.0
43.153.169.35,443,JP,,,,,303.58,,,,116.724,,,,0.0,13.122,,0.0
