ip,port,country,colo,colo_country,region,city,tcp_latency_ms,tls_latency_ms,http_latency_ms,average_latency_ms,tcp_jitter_ms,tls_jitter_ms,http_jitter_ms,jitter_ms,loss_rate,speed_mbps,tls_version,score
140.245.65.122,443,KR,,,,,82.218,,,82.218,7.404,,,7.404,0.0,8.398,,0.0
104.20.21.102,443,XX,,,,,95.818,,,95.818,12.832,,,12.832,0.0,8.345,,0.0
13.212.207.124,443,SG,,,,,85.082,,,85.082,2.077,,,2.077,0.0,8.315,,0.0
104.20.16.92,443,XX,,,,,105.449,,,105.449,12.171,,,12.171,0.0,8.301,,0.0
152.67.208.47,443,KR,,,,,82.613,,,82.613,3.562,,,3.562,0.0,8.276,,0.0
162.159.146.7,443,XX,,,,,88.954,,,88.954,13.126,,,13.126,0.0,8.238,,0.0
134.185.99.52,443,KR,,,,,82.454,,,82.454,4.858,,,4.858,0.0,8.148,,0.0
162.159.138.120,443,XX,,,,,96.8,,,96.8,18.365,,,18.365,0.0,8.105,,0.0
54.254.39.187,443,SG,,,,,87.18,,,87.18,7.425,,,7.425,0.0,7.968,,0.0
162.159.129.170,443,XX,,,,,89.685,,,89.685,8.379,,,8.379,0.0,7.936,,0.0
168.107.56.181,443,KR,,,,,82.556,,,82.556,3.635,,,3.635,0.0,7.879,,0.0
146.56.119.205,443,KR,,,,,86.292,,,86.292,6.286,,,6.286,0.0,7.848,,0.0
185.217.108.229,23351,XX,,,,,162.445,,,162.445,7.424,,,7.424,0.0,7.847,,0.0
168.107.17.234,8443,KR,,,,,82.412,,,82.412,5.009,,,5.009,0.0,7.825,,0.0
95.188.72.67,443,RU,,,,,108.04,,,108.04,2.698,,,2.698,0.0,7.745,,0.0
15.232.155.235,443,ID,,,,,99.363,,,99.363,2.878,,,2.878,0.0,7.74,,0.0
154.31.114.46,12632,XX,,,,,62.605,,,62.605,4.178,,,4.178,0.0,7.647,,0.0
95.40.77.144,443,HK,,,,,111.981,,,111.981,0.985,,,0.985,0.0,7.642,,0.0
162.159.144.175,443,XX,,,,,88.655,,,88.655,9.457,,,9.457,0.0,7.625,,0.0
162.159.156.45,443,XX,,,,,87.211,,,87.211,6.046,,,6.046,0.0,7.537,,0.0
104.20.25.110,443,XX,,,,,82.92,,,82.92,7.674,,,7.674,0.0,7.425,,0.0
162.159.146.179,443,XX,,,,,85.311,,,85.311,14.117,,,14.117,0.0,7.419,,0.0
23.249.18.144,8581,XX,,,,,128.91,,,128.91,2.776,,,2.776,0.0,7.414,,0.0
156.231.117.230,443,XX,,,,,127.149,,,127.149,4.521,,,4.521,0.0,7.407,,0.0
104.20.20.100,443,XX,,,,,105.108,,,105.108,9.649,,,9.649,0.0,7.372,,0.0
162.159.160.225,443,XX,,,,,175.904,,,175.904,22.407,,,22.407,0.0,7.36,,0.0
104.26.13.65,443,XX,,,,,85.908,,,85.908,5.349,,,5.349,0.0,7.319,,0.0
162.159.144.132,443,XX,,,,,88.562,,,88.562,14.776,,,14.776,0.0,7.278,,0.0
162.159.143.130,443,XX,,,,,89.06,,,89.06,5.862,,,5.862,0.0,7.267,,0.0
162.128.72.114,443,SG,,,,,110.035,,,110.035,8.099,,,8.099,0.0,7.193,,0.0
87.225.88.81,8443,NL,,,,,62.329,,,62.329,1.62,,,1.62,0.0,7.16,,0.0
16.163.174.115,443,HK,,,,,118.379,,,118.379,7.997,,,7.997,0.0,7.119,,0.0
38.207.176.130,443,HK,,,,,51.189,,,51.189,0.586,,,0.586,0.0,7.04,,0.0
103.195.188.206,443,SG,,,,,115.2,,,115.2,2.217,,,2.217,0.0,7.009,,0.0
162.159.155.86,443,XX,,,,,106.447,,,106.447,12.638,,,12.638,0.0,6.997,,0.0
162.159.158.221,443,XX,,,,,88.226,,,88.226,7.136,,,7.136,0.0,6.975,,0.0
162.159.158.178,443,XX,,,,,87.419,,,87.419,14.285,,,14.285,0.0,6.925,,0.0
45.127.32.15,443,SG,,,,,110.54,,,110.54,1.77,,,1.77,0.0,6.744,,0.0
104.20.22.18,443,XX,,,,,95.952,,,95.952,9.023,,,9.023,0.0,6.737,,0.0
92.246.136.232,8443,DE,,,,,194.092,,,194.092,38.889,,,38.889,0.0,6.711,,0.0
185.218.7.74,443,US,,,,,156.57,,,156.57,2.938,,,2.938,0.0,6.653,,0.0
103.195.191.118,443,SG,,,,,118.822,,,118.822,7.456,,,7.456,0.0,6.65,,0.0
104.20.21.16,443,XX,,,,,95.717,,,95.717,8.4,,,8.4,0.0,6.609,,0.0
3.37.245.168,443,KR,,,,,118.47,,,118.47,3.096,,,3.096,0.0,6.545,,0.0
